year,Q,month
1900,77.4767470642927,5
1901,40.8105416913079,5
1902,38.7295638962402,5
1903,16.7202519907198,5
1904,21.0999042309576,5
1905,15.1528067950842,5
1906,17.15181144505,5
1907,7.15757296328286,5
1908,32.331979659817,5
1909,80.8332626213381,5
1910,80.4913756949232,5
1911,48.5084390633515,5
1912,38.9919217932835,5
1913,39.3935414690883,5
1914,72.5360108810097,5
1915,47.0804458024966,5
1916,27.5328134170256,5
1917,49.5911610930782,5
1918,65.608564427466,5
1919,49.8621655310063,5
1920,69.7584925993037,5
1921,44.3433240904909,5
1922,80.4343993580174,5
1923,46.5443917944123,5
1924,26.3862263942578,5
1925,37.9878216144449,5
1926,26.0147331495918,5
1927,35.8287455595502,5
1928,15.4631168751323,5
1929,46.8348396166784,5
1930,28.4674925161198,5
1931,11.5288603189762,5
1932,24.8027643130305,5
1933,12.7550251037675,5
1934,55.1906501651938,5
1935,74.5904584664297,5
1936,41.8341714296004,5
1937,55.4121623893987,5
1938,54.457026474749,5
1939,68.427803089719,5
1940,53.6902512127669,5
1941,45.1687252117968,5
1942,59.4697449099892,5
1943,60.1299564188058,5
1944,61.4169938608393,5
1945,52.7929601028146,5
1946,57.8041912534349,5
1947,79.7142988104741,5
1948,77.5574737415075,5
1949,65.0840663413791,5
1950,35.2412694122518,5
1951,77.0237157102626,5
1952,53.7851722591505,5
1953,58.1988369866005,5
1954,59.8431608426517,5
1955,42.708591747496,5
1956,53.8829645671956,5
1957,49.1119005679968,5
1958,12.9890393763215,5
1959,-7.9999692762915,5
1960,39.4645289425059,5
1961,52.0808636005446,5
1962,71.0728668439841,5
1963,82.2440845645116,5
1964,64.6063649748027,5
1965,70.7297377449775,5
1966,34.4852322970733,5
1967,36.3070002222998,5
1968,8.55632400979723,5
1969,56.3490199183366,5
1970,63.6290020118408,5
1971,59.9345714627662,5
1972,72.2798243291732,5
1973,36.0855147776684,5
1974,72.7933524704677,5
1975,103.553331009633,5
1976,55.8517787733447,5
1977,17.8603125907303,5
1978,-2.14825414438275,5
1979,37.3827914749612,5
1980,21.8656480704514,5
1981,36.2849338977884,5
1982,39.6166389316329,5
1983,31.7662284253508,5
1984,10.2668259673877,5
1985,24.6925203413611,5
1986,21.3745588213053,5
1987,31.6177850353894,5
1988,-17.1346848861777,5
1989,40.2158899096288,5
1990,5.77778977460586,5
1991,9.17296247001489,5
1992,0.642940540058945,5
1993,-11.7613520123684,5
1994,0.0813392532626054,5
1995,105.924998451719,5
1996,33.3649460447036,5
1997,45.3314898658902,5
1998,23.9838924510027,5
1999,21.3004643262219,5
2000,61.2090813897113,5
2001,95.6979291749622,5
2002,118.092809741045,5
2003,65.5655370626287,5
1750,41.8444302689382,6
1751,74.6081440371756,6
1752,22.040102830328,6
1753,66.6974147606539,6
1754,122.192472684599,6
1755,51.7878282800062,6
1756,61.8349590726913,6
1757,71.1010174304835,6
1758,87.7726951463873,6
1759,68.5321769002657,6
1760,-50.5302749453468,6
1761,-11.3728251819037,6
1762,81.4707788945786,6
1763,111.454821291043,6
1764,34.5140368386315,6
1765,95.013238208785,6
1766,115.561051210952,6
1767,60.9753652744056,6
1768,107.204513034618,6
1769,85.0523547260959,6
1770,42.8045111195453,6
1771,101.50450033776,6
1772,187.197078111311,6
1773,127.131293659731,6
1774,124.364734088135,6
1775,92.0560595269253,6
1776,136.590977584198,6
1777,139.272757934843,6
1778,52.2474173434809,6
1779,90.7724936353233,6
1780,140.095954250015,6
1781,102.410417736881,6
1782,151.687335360409,6
1783,79.8020616050832,6
1784,46.7244376620688,6
1785,87.8448211233705,6
1786,52.5901934636901,6
1787,-17.9098682430061,6
1788,30.7263711589631,6
1789,23.8004967537776,6
1790,48.1189006080676,6
1791,90.8143519211021,6
1792,100.99158311437,6
1793,46.886010227096,6
1794,7.69196034199143,6
1795,51.2080897815748,6
1796,48.806265432968,6
1797,106.793607785935,6
1798,118.189012195825,6
1799,103.834737536216,6
1800,172.444005874997,6
1801,127.755117139075,6
1802,102.489577804786,6
1803,83.7398342114535,6
1804,54.2021269017147,6
1805,-26.2689107208596,6
1806,66.8215114598884,6
1807,185.823262762323,6
1808,82.8905370929635,6
1809,81.644594829415,6
1810,146.416501735998,6
1811,76.5417887370523,6
1812,73.836521841158,6
1813,42.7563728221824,6
1814,57.2574964393774,6
1815,38.2389361240098,6
1816,23.3835119620488,6
1817,16.6363293152865,6
1818,51.3259155620191,6
1819,94.1285739644252,6
1820,74.6234142620011,6
1821,55.2073304069233,6
1822,148.972420493204,6
1823,89.7561756149854,6
1824,51.5031166248427,6
1825,-67.8933626794083,6
1826,-16.5783728481314,6
1827,48.4556568898032,6
1828,117.980046793054,6
1829,133.31952191172,6
1830,97.0878392595572,6
1831,184.915639855652,6
1832,72.983702897821,6
1833,61.0314450061585,6
1834,65.0355847339755,6
1835,39.9116353735221,6
1836,-36.2054481805905,6
1837,55.4955850051949,6
1838,99.3447307925667,6
1839,76.9665904389503,6
1840,-22.2713546899185,6
1841,52.8378108645369,6
1842,100.713704051431,6
1843,78.5117059936066,6
1844,106.952685493196,6
1845,115.639926926463,6
1846,40.7643136862579,6
1847,103.474736438752,6
1848,84.1331055832537,6
1849,93.0501213017948,6
1850,51.7252514810642,6
1851,78.9481445494592,6
1852,101.639174667404,6
1853,117.534949264814,6
1854,31.24515484395,6
1855,50.6070779303699,6
1856,35.3862705929151,6
1857,46.4908824548295,6
1858,-5.77662494403243,6
1859,20.2356160973203,6
1860,41.6915550786449,6
1861,57.7951166940884,6
1862,103.498440729236,6
1863,110.811559371409,6
1864,111.665103227916,6
1865,41.3135093266244,6
1866,15.1275568651748,6
1867,23.6960998670532,6
1868,18.0663825168433,6
1869,67.0048350056805,6
1870,105.108410901924,6
1871,102.368983606862,6
1872,106.117096712694,6
1873,14.2551176631415,6
1874,98.6066488992269,6
1875,131.118118653785,6
1876,47.0116833251432,6
1877,75.7325298735085,6
1878,107.998856240178,6
1879,48.0094156427899,6
1880,62.0412902870072,6
1881,100.081315602352,6
1882,161.318416322341,6
1883,140.265990469168,6
1884,74.4791137916369,6
1885,43.979768103997,6
1886,50.6465719609578,6
1887,151.477597292323,6
1888,38.4362231441718,6
1889,161.483518786961,6
1890,2.24336106173014,6
1891,75.7012305942667,6
1892,-32.9702712390334,6
1893,91.2044855550784,6
1894,58.9410812909378,6
1895,-11.2038810548913,6
1896,38.7037340596609,6
1897,15.207016083181,6
1898,6.73333868548194,6
1899,0.0310833231446637,6
1900,141.605969989989,6
1901,33.0766253121903,6
1902,24.5357842310653,6
1903,34.5548393253542,6
1904,-1.93868961762377,6
1905,46.1955473455342,6
1906,26.4157212331265,6
1907,62.0113764453024,6
1908,83.4778945115148,6
1909,157.422781569064,6
1910,142.189268820071,6
1911,50.3263289002224,6
1912,31.6592382246395,6
1913,61.8264367590626,6
1914,167.268102710233,6
1915,73.2220506335477,6
1916,54.129678391894,6
1917,35.347149070321,6
